"Município";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"315560 RIO PARDO DE MINAS";"0";"0";"35,55";"52,99";"50,08";"85,02";"7,54";"126,64";"131,68";"105,65";"175,58";"94,36";"127,55";"103,33";"97,86";"92,40";"83,86";"93,57";"68,11";"85,05";"83,64";"85,39";"100,27";"75,07";"72,70"
"315570 RIO PIRACICABA";"0";"0";"60,37";"24,63";"95,00";"59,26";"4,12";"101,49";"102,31";"91,76";"118,37";"87,91";"125,36";"97,10";"119,57";"127,54";"138,41";"168,29";"94,97";"100,00";"86,39";"86,84";"84,81";"78,62";"76,92"
"315580 RIO POMBA";"0";"0";"47,08";"50,00";"89,16";"71,03";"7,48";"101,02";"95,60";"96,60";"135,12";"80,10";"92,51";"80,75";"88,77";"90,37";"92,86";"47,74";"53,37";"84,82";"86,39";"116,47";"85,58";"69,04";"69,79"
"315590 RIO PRETO";"0";"0";"60,53";"1,30";"27,47";"59,78";"36,96";"123,38";"154,69";"187,50";"224,24";"151,22";"140,82";"161,22";"163,27";"116,33";"132,76";"208,33";"151,61";"130,56";"88,89";"130,56";"164,44";"100,00";"96,17"
"315600 RIO VERMELHO";"0";"0";"0";"28,46";"20,81";"27,70";"64,22";"6,13";"95,19";"101,97";"156,98";"142,11";"797,22";"608,33";"563,89";"588,89";"79,19";"304,00";"124,84";"109,77";"121,05";"50,32";"65,93";"58,87";"71,56"
"315610 RITAPOLIS";"0";"0";"32,17";"26,96";"110,94";"69,84";"6,35";"84,85";"90,91";"130,77";"123,26";"82,98";"102,22";"128,89";"131,11";"140,00";"80,85";"89,74";"100,00";"95,45";"100,00";"104,76";"155,56";"92,68";"71,71"
"315620 ROCHEDO DE MINAS";"0";"0";"53,33";"65,22";"52,50";"63,41";"34,15";"115,38";"125,71";"116,67";"152,17";"135,71";"104,00";"120,00";"120,00";"140,00";"137,14";"88,89";"68,97";"226,67";"153,33";"82,14";"85,71";"76,92";"84,89"
"315630 RODEIRO";"0";"0";"0";"0";"80,85";"82,47";"89,90";"157,89";"125,37";"101,35";"84,78";"85,85";"80,87";"66,96";"106,09";"102,61";"113,27";"82,76";"121,62";"115,32";"128,83";"91,60";"120,75";"93,81";"85,85"
"315640 ROMARIA";"0";"39,51";"28,05";"19,51";"55,71";"57,75";"4,17";"115,79";"84,38";"193,33";"100,00";"97,22";"94,74";"107,89";"86,84";"86,84";"125,71";"97,37";"70,00";"89,74";"84,62";"106,45";"96,97";"46,67";"64,81"
"315645 ROSARIO DA LIMEIRA";"0";"0";"44,62";"45,45";"179,37";"81,25";"0";"103,12";"127,03";"173,91";"92,98";"156,25";"124,53";"90,57";"79,25";"101,89";"152,38";"100,00";"162,07";"119,15";"100,00";"179,31";"126,00";"102,17";"95,09"
"315650 RUBELITA";"0";"0";"62,03";"26,78";"51,21";"48,08";"10,58";"105,50";"160,32";"191,75";"132,00";"152,69";"120,37";"109,26";"93,52";"91,67";"143,18";"122,47";"89,33";"109,72";"56,94";"49,12";"78,57";"48,72";"73,87"
"315660 RUBIM";"0";"0";"0";"22,94";"89,55";"112,03";"20,61";"135,76";"128,31";"103,87";"108,05";"88,19";"111,38";"81,30";"90,24";"92,68";"103,48";"85,59";"86,32";"100,00";"109,78";"111,11";"81,91";"90,70";"76,86"
"315670 SABARA";"0";"0";"59,97";"9,10";"50,16";"50,28";"11,42";"110,58";"99,37";"101,49";"95,94";"95,26";"96,67";"95,97";"97,78";"96,61";"103,91";"87,93";"97,10";"93,58";"73,57";"89,73";"73,01";"53,70";"69,25"
"315680 SABINOPOLIS";"0";"0";"0";"20,32";"47,23";"67,75";"84,69";"94,59";"95,98";"92,62";"114,86";"100,00";"95,59";"112,25";"102,45";"100,49";"81,82";"96,24";"140,61";"102,19";"98,91";"95,45";"93,90";"95,33";"74,19"
"315690 SACRAMENTO";"0";"46,48";"45,11";"47,75";"136,83";"52,08";"29,97";"75,99";"93,83";"90,75";"85,62";"77,94";"95,83";"85,26";"93,59";"82,69";"89,76";"73,93";"96,37";"94,88";"85,54";"95,80";"95,14";"93,38";"75,81"
"315700 SALINAS";"0";"11,11";"28,16";"153,78";"83,85";"75,40";"7,58";"72,48";"103,74";"110,34";"111,25";"89,74";"121,64";"105,64";"114,00";"104,36";"103,87";"115,79";"119,51";"79,93";"74,91";"87,30";"91,60";"50,34";"81,88"
"315710 SALTO DA DIVISA";"0";"0";"0";"29,86";"72,66";"30,16";"13,71";"108,26";"114,91";"187,01";"143,04";"132,56";"170,42";"142,25";"157,75";"150,70";"93,33";"113,58";"92,31";"90,22";"72,83";"58,23";"49,40";"50,00";"74,36"
"315720 SANTA BARBARA";"0";"0";"32,26";"75,74";"68,69";"67,95";"38,66";"79,51";"105,70";"109,93";"101,36";"113,64";"130,50";"160,76";"177,54";"170,92";"88,78";"122,65";"24,11";"159,24";"89,57";"92,38";"93,96";"76,84";"89,79"
"315725 SANTA BARBARA DO LESTE";"0";"0";"134,72";"8,97";"71,43";"82,43";"28,67";"72,22";"110,57";"133,56";"104,31";"138,10";"127,62";"111,43";"115,24";"85,71";"110,11";"126,60";"174,19";"74,07";"74,07";"99,12";"150,65";"146,48";"88,83"
"315727 SANTA BARBARA DO MONTE VERDE";"0";"0";"58,14";"34,88";"104,76";"75,61";"19,51";"50,00";"186,21";"153,57";"106,06";"93,10";"67,44";"81,40";"65,12";"46,51";"184,38";"103,33";"100,00";"91,18";"76,47";"103,23";"144,00";"104,35";"79,05"
"315730 SANTA BARBARA DO TUGURIO";"0";"0";"0";"34,44";"85,54";"125,61";"121,95";"122,73";"123,64";"154,17";"85,71";"140,00";"182,98";"148,94";"168,09";"155,32";"114,58";"152,50";"120,00";"97,06";"102,94";"112,50";"150,00";"89,66";"94,47"
"315733 SANTA CRUZ DE MINAS";"0";"0";"29,45";"65,10";"47,69";"55,30";"14,81";"79,84";"91,67";"117,58";"106,73";"108,14";"131,25";"117,50";"155,00";"133,75";"145,57";"139,19";"132,56";"115,69";"88,24";"120,65";"79,21";"105,38";"81,35"
"315737 SANTA CRUZ DE SALINAS";"0";"0";"103,28";"22,95";"47,57";"73,08";"2,88";"114,29";"103,70";"106,90";"166,67";"83,33";"118,75";"100,00";"103,12";"100,00";"97,96";"75,00";"112,50";"75,47";"47,17";"42,22";"107,14";"96,15";"76,12"
"315740 SANTA CRUZ DO ESCALVADO";"0";"0";"51,11";"42,05";"32,22";"37,50";"18,60";"53,03";"115,15";"158,33";"106,98";"63,08";"125,00";"79,17";"70,83";"91,67";"104,35";"105,13";"85,11";"111,90";"104,76";"90,91";"105,00";"94,59";"65,61"
"315750 SANTA EFIGENIA DE MINAS";"0";"0";"76,42";"196,15";"147,73";"72,73";"67,05";"84,62";"121,74";"108,57";"105,97";"111,11";"128,81";"111,86";"128,81";"130,51";"90,91";"95,31";"101,64";"87,32";"78,87";"110,91";"69,84";"68,97";"92,31"
"315760 SANTA FE DE MINAS";"0";"126,04";"27,66";"54,35";"71,96";"33,02";"3,81";"140,82";"121,15";"125,93";"166,67";"80,70";"145,24";"116,67";"147,62";"123,81";"79,31";"130,19";"98,15";"95,65";"32,61";"132,56";"98,04";"91,49";"81,20"
"315765 SANTA HELENA DE MINAS";"0";"20,93";"100,00";"73,17";"40,98";"89,34";"41,80";"127,62";"68,75";"100,00";"93,52";"66,07";"98,99";"75,76";"98,99";"95,96";"97,37";"137,00";"99,12";"82,35";"80,67";"88,42";"91,49";"102,33";"82,24"
"315770 SANTA JULIANA";"0";"27,72";"26,09";"51,18";"60,84";"63,19";"43,06";"124,59";"84,38";"123,89";"117,14";"105,11";"107,14";"95,45";"103,90";"109,09";"114,72";"101,97";"159,29";"110,64";"100,53";"98,93";"79,29";"90,11";"83,39"
"315780 SANTA LUZIA";"0";"1,79";"80,80";"36,44";"108,01";"60,62";"10,01";"85,85";"96,56";"98,85";"97,32";"102,68";"101,98";"103,99";"95,30";"95,08";"90,75";"101,75";"69,45";"73,56";"69,85";"85,44";"80,74";"58,33";"73,69"
"315790 SANTA MARGARIDA";"0";"0";"53,85";"51,22";"72,97";"74,50";"14,67";"180,42";"106,04";"82,10";"114,70";"94,19";"130,15";"94,97";"112,56";"112,06";"118,34";"95,00";"101,76";"88,00";"132,40";"84,46";"112,05";"80,49";"81,52"
"315800 SANTA MARIA DE ITABIRA";"0";"0";"15,89";"48,64";"119,89";"57,53";"0";"63,19";"111,31";"85,09";"112,77";"79,71";"121,88";"107,81";"104,69";"89,84";"137,01";"104,80";"40,27";"104,64";"91,39";"83,22";"74,26";"85,60";"68,42"
"315810 SANTA MARIA DO SALTO";"0";"0";"0";"0";"150,00";"44,94";"56,67";"140,91";"98,11";"97,22";"106,06";"79,31";"170,00";"118,00";"148,00";"108,00";"69,49";"61,36";"89,74";"95,74";"114,89";"121,28";"136,17";"106,98";"79,52"
"315820 SANTA MARIA DO SUACUI";"0";"0";"52,54";"122,39";"82,65";"90,22";"4,73";"32,64";"88,52";"121,46";"109,22";"91,59";"102,60";"81,25";"92,71";"91,67";"97,04";"76,61";"81,11";"70,33";"80,22";"100,00";"80,41";"43,26";"70,42"
"315830 SANTANA DA VARGEM";"0";"65,81";"64,10";"77,85";"65,03";"66,46";"17,58";"85,00";"82,88";"148,57";"109,20";"132,86";"121,13";"116,90";"100,00";"123,94";"90,91";"91,89";"103,80";"77,38";"84,52";"100,00";"101,32";"118,57";"79,60"
"315840 SANTANA DE CATAGUASES";"0";"0";"53,70";"5,66";"85,11";"71,74";"100,00";"146,88";"118,18";"85,29";"123,53";"86,84";"100,00";"91,84";"89,80";"106,12";"126,09";"89,47";"43,90";"161,11";"116,67";"191,67";"96,55";"96,30";"80,50"
"315850 SANTANA DE PIRAPAMA";"0";"0";"0";"50,76";"58,82";"62,75";"62,50";"73,33";"100,00";"151,76";"124,05";"144,29";"193,10";"146,55";"213,79";"165,52";"145,59";"106,45";"127,27";"146,30";"124,07";"100,00";"96,36";"116,00";"85,50"
"315860 SANTANA DO DESERTO";"0";"0";"58,70";"31,11";"71,15";"67,31";"30,77";"88,10";"190,62";"138,24";"121,95";"105,71";"102,50";"70,00";"135,00";"97,50";"193,02";"134,09";"82,61";"59,52";"111,90";"113,95";"94,44";"15,15";"85,02"
"315870 SANTANA DO GARAMBEU";"0";"0";"0";"0";"60,71";"68,97";"75,86";"116,22";"93,02";"140,00";"132,00";"122,73";"57,14";"68,57";"57,14";"80,00";"151,61";"73,33";"56,67";"170,00";"120,00";"100,00";"113,04";"90,48";"75,52"
"315880 SANTANA DO JACARE";"0";"0";"53,66";"28,57";"110,45";"70,59";"11,59";"90,74";"80,60";"120,41";"157,45";"159,62";"170,21";"127,66";"129,79";"108,51";"166,67";"110,00";"111,76";"128,57";"116,67";"114,81";"60,94";"30,51";"83,42"
"315890 SANTANA DO MANHUACU";"0";"0";"111,54";"17,88";"203,98";"80,00";"53,27";"118,54";"103,57";"112,33";"100,92";"99,04";"81,25";"87,50";"140,18";"103,57";"119,61";"41,41";"40,95";"76,15";"106,42";"96,67";"131,82";"84,16";"85,87"
"315895 SANTANA DO PARAISO";"0";"0";"50,96";"0";"56,01";"104,49";"10,92";"140,93";"82,71";"82,87";"70,79";"98,60";"78,31";"91,53";"83,33";"98,15";"76,44";"78,40";"70,26";"97,31";"67,39";"85,56";"84,99";"70,02";"69,17"
"315900 SANTANA DO RIACHO";"0";"0";"65,52";"43,10";"26,32";"80,70";"34,48";"153,57";"152,94";"155,56";"304,00";"170,83";"137,50";"159,38";"140,62";"121,88";"242,86";"172,09";"146,34";"131,37";"98,04";"101,96";"98,08";"64,58";"100,67"
"315910 SANTANA DOS MONTES";"0";"0";"0";"170,00";"45,21";"63,89";"34,72";"41,27";"110,17";"112,50";"137,14";"109,30";"100,00";"89,19";"116,22";"100,00";"90,00";"97,50";"106,45";"85,19";"474,07";"111,43";"93,75";"96,55";"82,70"
"315920 SANTA RITA DE CALDAS";"0";"0";"57,59";"48,43";"89,76";"51,97";"8,66";"96,70";"94,05";"120,93";"91,78";"86,67";"131,25";"145,00";"128,75";"116,25";"133,33";"124,73";"89,87";"78,08";"83,56";"113,64";"84,27";"91,46";"76,52"
"315930 SANTA RITA DE JACUTINGA";"0";"0";"41,03";"8,86";"53,52";"87,32";"29,58";"72,88";"152,00";"126,92";"131,11";"180,65";"86,79";"105,66";"73,58";"101,89";"88,00";"119,61";"141,46";"173,33";"170,00";"102,44";"95,45";"40,00";"77,43"
"315935 SANTA RITA DE MINAS";"0";"0";"90,79";"0";"80,17";"57,98";"6,84";"103,33";"100,00";"167,53";"88,46";"113,64";"104,35";"116,30";"118,48";"113,04";"91,67";"98,10";"25,47";"77,17";"75,00";"86,41";"84,44";"116,87";"79,60"
"315940 SANTA RITA DE IBITIPOCA";"0";"0";"0";"0";"75,00";"66,67";"22,67";"89,80";"91,67";"60,34";"109,52";"74,42";"109,09";"112,12";"115,15";"109,09";"133,33";"196,88";"102,50";"85,00";"85,00";"160,87";"103,33";"110,71";"69,45"
"315950 SANTA RITA DO ITUETO";"0";"0";"51,45";"35,04";"149,23";"216,15";"88,46";"92,47";"189,29";"155,17";"129,49";"102,74";"100,00";"111,54";"75,64";"112,82";"67,05";"82,28";"208,70";"100,00";"116,05";"134,72";"105,19";"83,10";"97,57"
"315960 SANTA RITA DO SAPUCAI";"0";"0";"42,76";"8,79";"26,28";"60,17";"21,19";"94,87";"102,06";"92,50";"104,87";"107,78";"105,85";"81,51";"89,06";"85,28";"143,15";"94,43";"85,87";"99,62";"100,38";"109,34";"91,30";"83,92";"74,00"
"315970 SANTA ROSA DA SERRA";"0";"60,94";"35,38";"38,46";"129,79";"62,50";"0";"105,13";"85,71";"137,84";"160,61";"68,09";"126,32";"121,05";"92,11";"68,42";"195,45";"140,00";"92,86";"86,49";"124,32";"118,75";"76,92";"50,00";"81,13"
"315980 SANTA VITORIA";"0";"69,49";"36,95";"28,04";"117,24";"125,12";"15,27";"78,03";"115,49";"79,26";"82,59";"96,89";"82,68";"101,73";"93,07";"107,36";"130,46";"68,24";"92,46";"102,69";"113,46";"73,72";"86,13";"70,12";"79,40"
"315990 SANTO ANTONIO DO AMPARO";"0";"0";"66,01";"38,46";"109,54";"76,30";"34,29";"98,10";"75,36";"99,16";"91,60";"93,13";"77,61";"96,53";"103,47";"121,24";"114,60";"77,29";"68,21";"83,41";"80,18";"123,56";"138,07";"90,06";"76,83"
"316000 SANTO ANTONIO DO AVENTUREIRO";"0";"0";"51,35";"0";"55,56";"55,56";"0";"119,35";"137,04";"135,71";"165,22";"87,50";"121,21";"96,97";"84,85";"93,94";"142,86";"90,62";"104,00";"116,67";"73,33";"165,38";"146,88";"93,10";"82,16"
"316010 SANTO ANTONIO DO GRAMA";"0";"0";"59,80";"3,92";"91,67";"52,54";"35,59";"75,44";"138,78";"113,95";"91,38";"126,09";"111,11";"91,11";"100,00";"111,11";"120,00";"90,28";"100,00";"92,98";"82,46";"138,30";"107,69";"73,33";"73,45"
"316020 SANTO ANTONIO DO ITAMBE";"0";"0";"0";"15,09";"45,26";"45,83";"96,88";"28,57";"95,18";"138,33";"238,46";"158,82";"116,98";"109,43";"94,34";"177,36";"100,00";"77,55";"65,00";"86,49";"97,30";"147,06";"94,34";"55,10";"63,39"
"316030 SANTO ANTONIO DO JACINTO";"0";"0";"0";"0";"184,11";"50,93";"62,62";"137,34";"200,75";"124,31";"153,75";"111,04";"99,38";"125,31";"85,80";"93,21";"112,59";"150,00";"98,43";"77,05";"99,18";"66,67";"104,88";"76,99";"86,44"
"316040 SANTO ANTONIO DO MONTE";"0";"0";"92,23";"61,76";"97,98";"49,89";"10,11";"93,93";"88,24";"83,97";"91,17";"94,94";"81,16";"95,29";"92,52";"88,37";"94,48";"109,94";"107,54";"69,39";"73,88";"95,52";"105,88";"85,32";"75,40"
"316045 SANTO ANTONIO DO RETIRO";"0";"0";"29,27";"23,03";"60,39";"70,32";"15,29";"34,68";"116,67";"100,00";"121,30";"100,88";"119,10";"130,34";"129,21";"102,25";"141,49";"118,81";"143,28";"75,61";"74,39";"86,25";"129,85";"95,08";"73,04"
"316050 SANTO ANTONIO DO RIO ABAIXO";"0";"0";"0";"0";"138,46";"65,38";"130,77";"350,00";"55,56";"214,29";"81,82";"104,55";"155,56";"111,11";"44,44";"88,89";"80,00";"147,06";"69,57";"114,29";"78,57";"172,73";"87,50";"26,67";"85,59"
"316060 SANTO HIPOLITO";"0";"25,00";"0";"0";"25,64";"39,74";"40,26";"74,58";"68,09";"119,57";"66,67";"120,00";"82,35";"88,24";"141,18";"117,65";"90,24";"68,97";"130,43";"69,44";"61,11";"107,69";"70,00";"60,71";"54,42"
"316070 SANTOS DUMONT";"0";"0";"49,47";"0";"57,84";"58,98";"9,51";"79,38";"94,34";"100,00";"106,38";"87,68";"98,26";"88,17";"88,17";"89,91";"140,46";"161,04";"64,12";"131,56";"97,77";"90,57";"100,00";"69,46";"71,21"
"316080 SAO BENTO ABADE";"0";"0";"34,18";"35,80";"66,36";"80,91";"6,19";"75,00";"94,59";"160,56";"106,94";"112,50";"97,06";"127,94";"91,18";"119,12";"93,94";"73,13";"132,81";"89,19";"86,49";"98,55";"98,48";"121,31";"79,97"
"316090 SAO BRAS DO SUACUI";"0";"0";"0";"0";"58,82";"72,55";"33,33";"61,54";"160,87";"152,00";"120,00";"100,00";"111,43";"122,86";"122,86";"111,43";"97,50";"117,24";"81,25";"159,52";"78,57";"84,09";"80,95";"51,28";"73,32"
"316095 SAO DOMINGOS DAS DORES";"0";"0";"66,39";"47,06";"76,03";"66,67";"40,80";"139,19";"103,61";"119,54";"134,92";"72,45";"103,77";"87,74";"92,45";"71,70";"126,92";"104,00";"114,29";"116,05";"113,58";"104,71";"71,88";"110,23";"80,89"
"316100 SAO DOMINGOS DO PRATA";"0";"0";"7,37";"152,84";"63,40";"66,29";"26,24";"95,00";"90,60";"100,00";"97,41";"105,59";"106,36";"96,53";"93,06";"103,47";"124,35";"174,53";"151,35";"95,29";"84,29";"108,72";"97,13";"76,25";"82,93"
"316105 SAO FELIX DE MINAS";"0";"0";"96,10";"0";"110,17";"66,10";"34,48";"126,83";"147,50";"101,85";"135,14";"93,33";"176,67";"186,67";"150,00";"160,00";"104,26";"100,00";"142,42";"138,89";"100,00";"113,51";"97,56";"86,84";"87,89"
"316110 SAO FRANCISCO";"0";"0";"26,67";"17,30";"79,61";"76,85";"11,26";"91,18";"111,24";"105,67";"115,95";"91,42";"116,79";"110,00";"112,86";"93,57";"105,61";"100,12";"105,12";"94,19";"76,54";"100,93";"81,84";"65,97";"73,64"
"316120 SAO FRANCISCO DE PAULA";"0";"0";"50,93";"90,74";"95,35";"83,08";"28,46";"96,10";"143,10";"107,94";"130,65";"90,62";"79,71";"104,35";"82,61";"71,01";"142,00";"107,69";"86,36";"124,07";"129,63";"121,31";"92,11";"75,71";"80,94"
"316130 SAO FRANCISCO DE SALES";"0";"90,91";"76,14";"46,07";"91,40";"38,71";"8,51";"147,62";"116,98";"148,21";"138,89";"100,00";"111,32";"120,75";"132,08";"109,43";"182,14";"83,33";"77,33";"119,30";"145,61";"119,35";"61,73";"50,00";"87,77"
"316140 SAO FRANCISCO DO GLORIA";"0";"0";"83,33";"45,95";"68,09";"32,26";"0";"150,00";"116,67";"171,88";"111,67";"65,75";"162,75";"113,73";"105,88";"121,57";"80,88";"85,71";"148,57";"93,10";"158,62";"112,20";"91,49";"83,72";"77,44"
"316150 SAO GERALDO";"0";"0";"0";"22,90";"26,00";"74,00";"13,13";"127,71";"115,62";"208,51";"109,72";"91,40";"103,26";"93,48";"106,52";"92,39";"128,89";"163,04";"116,87";"89,00";"76,00";"87,37";"96,77";"114,12";"76,40"
"316160 SAO GERALDO DA PIEDADE";"0";"0";"38,84";"10,74";"57,80";"62,39";"6,42";"180,85";"60,53";"88,89";"141,30";"79,17";"138,89";"129,63";"118,52";"127,78";"126,67";"142,86";"108,47";"165,71";"140,00";"94,23";"118,60";"53,85";"71,77"
"316165 SAO GERALDO DO BAIXIO";"0";"0";"133,33";"0";"57,14";"73,47";"26,53";"102,94";"117,86";"59,18";"153,12";"72,34";"159,09";"115,91";"102,27";"93,18";"97,87";"121,62";"136,11";"97,44";"107,69";"115,79";"94,87";"97,22";"86,76"
"316170 SAO GONCALO DO ABAETE";"0";"5,68";"32,56";"0";"31,18";"58,06";"0";"61,11";"81,25";"92,11";"121,54";"117,19";"104,11";"119,18";"86,30";"72,60";"61,90";"72,73";"115,25";"138,60";"77,19";"121,82";"106,78";"112,96";"68,51"
"316180 SAO GONCALO DO PARA";"0";"0";"63,01";"44,90";"158,93";"106,25";"46,90";"106,45";"134,59";"87,50";"124,24";"71,63";"100,76";"75,00";"94,70";"97,73";"97,78";"100,00";"85,82";"107,86";"92,86";"93,06";"101,65";"108,11";"85,70"
"316190 SAO GONCALO DO RIO ABAIXO";"0";"0";"20,35";"93,68";"70,86";"50,00";"9,66";"93,69";"140,19";"166,67";"80,87";"96,43";"91,20";"80,00";"72,80";"120,00";"103,75";"182,79";"122,39";"98,56";"87,77";"97,81";"91,16";"104,44";"80,98"
"316200 SAO GONCALO DO SAPUCAI";"0";"0";"68,35";"89,09";"61,23";"77,51";"9,90";"90,58";"132,68";"76,01";"92,35";"74,79";"112,28";"144,30";"135,53";"149,56";"124,72";"125,95";"90,74";"70,57";"79,43";"67,99";"92,76";"61,65";"78,60"
"316210 SAO GOTARDO";"0";"69,52";"81,22";"138,72";"81,04";"90,93";"10,42";"125,53";"140,88";"118,87";"111,25";"98,30";"110,34";"103,91";"110,57";"120,00";"104,02";"91,99";"90,20";"83,31";"76,39";"83,68";"83,60";"78,80";"90,69"
"316220 SAO JOAO BATISTA DO GLORIA";"0";"107,32";"131,71";"100,00";"66,14";"69,77";"16,79";"128,07";"105,80";"96,25";"92,31";"102,63";"122,58";"132,26";"104,84";"130,65";"102,38";"94,67";"112,82";"108,24";"100,00";"98,85";"93,26";"79,27";"90,85"
"316225 SAO JOAO DA LAGOA";"0";"0";"70,59";"70,59";"98,88";"50,00";"0";"94,92";"106,15";"1000,00";"135,90";"100,00";"221,05";"147,37";"155,26";"165,79";"100,00";"152,50";"103,70";"123,68";"94,74";"135,29";"184,62";"152,78";"93,93"
"316230 SAO JOAO DA MATA";"0";"0";"83,33";"10,20";"64,71";"74,29";"34,29";"118,18";"81,58";"140,00";"93,10";"188,89";"126,92";"150,00";"111,54";"130,77";"140,91";"103,23";"87,10";"172,73";"104,55";"160,00";"94,74";"60,00";"84,82"
"316240 SAO JOAO DA PONTE";"0";"1,09";"33,76";"28,97";"68,11";"53,90";"1,82";"59,19";"142,60";"115,64";"106,20";"88,38";"97,10";"97,68";"100,29";"91,01";"82,05";"117,01";"110,36";"64,36";"87,89";"123,63";"98,66";"62,27";"67,20"
"316245 SAO JOAO DAS MISSOES";"0";"38,19";"64,68";"80,30";"53,37";"60,71";"37,46";"141,15";"150,89";"159,04";"100,82";"84,87";"90,81";"89,71";"107,35";"88,97";"104,91";"143,14";"139,61";"92,41";"85,86";"92,62";"115,15";"80,58";"90,30"
"316250 SAO JOAO DEL REI";"0";"0,57";"67,83";"14,73";"100,54";"49,73";"15,13";"75,80";"108,48";"109,26";"113,66";"102,89";"116,09";"102,48";"76,57";"91,79";"110,19";"110,09";"84,17";"85,59";"83,81";"82,80";"78,44";"64,17";"74,11"
"316255 SAO JOAO DO MANHUACU";"0";"0";"87,68";"109,77";"81,46";"78,02";"51,35";"97,67";"91,40";"123,31";"96,50";"71,93";"96,69";"95,36";"78,15";"115,89";"155,19";"65,61";"87,97";"103,05";"98,17";"96,88";"115,52";"18,12";"82,18"
"316257 SAO JOAO DO MANTENINHA";"0";"0";"87,01";"0";"43,66";"84,51";"55,56";"91,03";"155,36";"124,64";"112,79";"129,11";"161,29";"159,68";"111,29";"95,16";"124,14";"166,04";"95,65";"212,90";"209,68";"80,49";"106,25";"61,64";"94,24"
"316260 SAO JOAO DO ORIENTE";"0";"0";"243,59";"3,18";"86,26";"78,03";"63,16";"95,51";"115,38";"105,04";"106,60";"91,82";"111,71";"90,99";"74,77";"91,89";"127,16";"120,62";"171,05";"95,28";"51,89";"106,67";"72,27";"54,13";"85,95"
"316265 SAO JOAO DO PACUI";"0";"0";"75,00";"43,21";"136,67";"125,00";"13,11";"104,92";"96,67";"957,14";"154,17";"111,76";"153,33";"102,22";"135,56";"102,22";"98,33";"183,33";"97,78";"121,43";"102,38";"115,79";"117,50";"127,03";"96,39"
"316270 SAO JOAO DO PARAISO";"0";"0";"2,63";"95,88";"76,30";"77,13";"4,02";"80,77";"96,29";"106,55";"100,00";"120,78";"101,08";"93,53";"98,92";"100,36";"109,36";"90,00";"108,51";"84,62";"91,21";"90,46";"97,12";"76,68";"73,67"
"316280 SAO JOAO EVANGELISTA";"0";"0";"43,67";"6,65";"11,72";"90,03";"65,64";"86,08";"118,52";"262,12";"86,41";"89,52";"93,33";"95,11";"88,44";"72,89";"104,02";"87,00";"110,99";"84,54";"76,81";"80,10";"74,06";"93,81";"68,40"
"316290 SAO JOAO NEPOMUCENO";"0";"0";"48,17";"0";"26,61";"75,28";"9,89";"71,19";"97,06";"219,50";"92,21";"106,39";"90,03";"89,00";"98,97";"98,97";"107,57";"145,26";"114,06";"99,04";"74,84";"97,00";"84,19";"76,03";"73,08"
"316292 SAO JOAQUIM DE BICAS";"0";"0";"138,08";"11,82";"18,94";"51,86";"27,00";"79,09";"110,19";"134,43";"75,83";"135,48";"108,43";"105,42";"106,63";"103,92";"81,50";"92,01";"88,59";"87,71";"81,93";"101,89";"75,48";"96,88";"77,23"
"316294 SAO JOSE DA BARRA";"0";"73,68";"88,16";"0";"74,16";"70,00";"17,58";"90,91";"112,79";"107,06";"126,09";"110,84";"120,99";"137,04";"125,93";"128,40";"123,86";"175,68";"79,49";"138,57";"95,71";"133,75";"135,11";"74,42";"97,13"
"316295 SAO JOSE DA LAPA";"0";"0";"162,39";"33,05";"93,22";"64,16";"9,90";"116,99";"125,09";"135,36";"146,70";"115,85";"152,44";"133,74";"132,11";"135,37";"98,62";"126,62";"113,98";"90,99";"179,19";"104,06";"76,38";"63,06";"98,50"
"316300 SAO JOSE DA SAFIRA";"0";"0";"56,00";"0";"61,86";"51,02";"31,63";"125,86";"91,36";"109,86";"122,95";"74,24";"122,95";"96,72";"85,25";"119,67";"102,74";"108,33";"98,21";"118,18";"85,45";"116,98";"91,67";"69,09";"72,73"
"316310 SAO JOSE DA VARGINHA";"0";"0";"48,61";"43,84";"62,50";"72,60";"17,33";"116,07";"93,18";"146,81";"276,92";"168,75";"75,61";"60,98";"112,20";"95,12";"108,89";"111,36";"151,52";"97,96";"71,43";"18,42";"50,00";"100,00";"77,88"
"316320 SAO JOSE DO ALEGRE";"0";"0";"50,88";"31,03";"43,94";"49,25";"13,24";"108,33";"74,14";"125,00";"111,63";"80,85";"125,00";"108,33";"136,11";"127,78";"113,21";"124,44";"142,22";"55,36";"39,29";"98,04";"89,29";"88,24";"74,08"
"316330 SAO JOSE DO DIVINO";"0";"0";"45,33";"0";"55,13";"62,34";"48,05";"122,73";"148,84";"314,29";"104,26";"81,67";"126,42";"126,42";"135,85";"105,66";"92,42";"121,74";"123,26";"133,33";"158,33";"95,38";"83,67";"68,89";"83,82"
"316340 SAO JOSE DO GOIABAL";"0";"0";"0";"0";"97,27";"55,96";"4,59";"86,96";"152,50";"102,33";"110,81";"133,87";"62,07";"95,40";"62,07";"81,61";"92,42";"117,14";"83,61";"125,42";"74,58";"101,92";"104,08";"102,22";"66,93"
